Yelp ID,Business name,Category,Average star rating,Review count,Price,Ambience,mean_compound,pct_positive,pct_negative,cluster
nW4TO_5nzHsF8Wk8DhiojQ,Høst,"Danish, Scandinavian",4.5,301,$$$,cozy,0.816,100.0,0.0,1
4pPraP634d0oMYKcCUz9GQ,Vækst,Scandinavian,4.5,100,$$,cozy,0.764,100.0,0.0,6
NrLB0JElwhP4aoz4s_NP2w,Rita's Smørrebrød,"Open Sandwiches, Danish",4.3,9,$,,0.366,57.1,14.3,0
IofXZt3LLeehHFgGHD_5wA,MAOBAO,"Chinese, Fast Food",4.5,10,$$,,-0.221,50.0,50.0,3
kSfznO6eKDpayWrpxQrpvQ,Banana Joe,"Burgers, Fast Food",4.7,80,$,,0.575,100.0,0.0,6
DvSPei5BeHR2wUnjOO2C9w,Fætter Fætter,"Bars, Restaurants",4.2,29,$,cozy,0.56,85.7,14.3,0
d74Fp-hQbKy9iPjAJzXsKw,Gaarden & Gaden,"Wine Bars, Beer Bar, Bistros",4.3,4,,,,,,3
aYS_h5qw9lMI4xjh56wpVQ,Manfreds,"Scandinavian, Wine Bars",3.5,124,$$,,0.189,42.9,28.6,6
WhgwgcCEDhI09Nz4UUzviA,Oysters & Grill,"Seafood, Steakhouses, Modern European",4.0,73,$$,,0.563,100.0,0.0,6
u5ubeBTddL3pnN4WwOmS2w,Konak,"Kebab, Turkish",4.1,11,$,,0.796,100.0,0.0,0
JsJ_Lw6_ISor8J3Lxar2aw,The Olive Kitchen & Bar,"American, Steakhouses, Modern European",4.7,86,$$,cozy,0.678,100.0,0.0,6
u9BXtk0H-xWMvlDiJirWkA,20 A,French,4.0,25,$$,,0.674,100.0,0.0,5
mbrafBIxsYyAMYI9QAhYJg,Kuma,Japanese,4.1,14,$,,0.54,71.4,0.0,0
SVzu75PivakjsdqxqZwO-w,Scarpetta,Italian,4.0,40,$$$,cozy,0.696,100.0,0.0,2
nU2z4Lp5P6JA_8VmVeMpTQ,Bevar's,"Wine Bars, Breakfast & Brunch, Danish",4.1,73,$,cozy,0.721,100.0,0.0,6
IVL9W4sMggxxapyacS7cBw,Hooked,"Seafood, Burgers, Fast Food",4.3,13,$$,,0.308,57.1,28.6,3
mtlr1z62z_eEQpUuGk28SA,Protein-Baren,"Salad, Gluten-Free, Sandwiches",4.1,42,$,,0.727,100.0,0.0,0
3HJgXfWhhFBMleJeWKIrAA,Rebel Food,"Food Stands, Food Trucks, Street Vendors",4.7,3,$,,0.858,100.0,0.0,0
UZG6f5p48f9pqUN06_c9aQ,Dürüm Symfoni,"Middle Eastern, Fast Food",4.6,15,$,,0.53,85.7,0.0,0
t7v2HOzq7Kt_UFk7VsIP0w,Grød,"Breakfast & Brunch, Vegetarian, Scandinavian",4.2,128,$,,0.488,85.7,0.0,6
gLktAuUmduq94SYS-Noxdw,Ramen to Bíiru,"Ramen, Beer Bar",4.2,92,$,,0.636,85.7,14.3,6
i7vnmRNQwdQy-1y65Pq8jg,Dürüm Bar,"Turkish, Fast Food, Middle Eastern",4.2,42,$,,0.375,71.4,14.3,0
CmZ7_TVdknEpq4N64mQ5EQ,Ravnsborg Vinbar,"Wine Bars, Tapas/Small Plates, French",4.2,16,$,cozy,0.852,100.0,0.0,0
mM4WV5dR7rxcMrNu1PvfLQ,Mahalle Birkegade,"Breakfast & Brunch, Vegetarian, Lebanese",4.1,45,$,,0.787,100.0,0.0,0
NSpoxrBJlz8Y7l8aOfaAVA,Afandi Kebab,"Pizza, Kebab",4.0,2,$,,0.679,100.0,0.0,0
I15QPGN36sDpoqsXQ8B5FQ,Nepali Bhancha,Himalayan/Nepalese,4.3,8,$$,cozy,0.662,100.0,0.0,3
XNS0RPZHFUY8xYWoDSn7OA,Grisen,"Barbeque, Danish",4.2,44,$,,0.518,100.0,0.0,0
gP2nUuSYP1SHUboRB8viYQ,Restaurant Nha Trang,Vietnamese,4.1,30,$$,,0.691,100.0,0.0,5
_srPGSLHHI0hyaIx7I0qEg,Aamanns Etablissement,"Open Sandwiches, Danish, Bistros",4.3,76,$$,,0.379,57.1,14.3,6
mSChUFbEhSghzzef2EFptg,Alanya Kebab,Mediterranean,4.6,9,$,,0.72,85.7,14.3,0
PWQhCukH0EEAIBCeVQdsPw,Kiin Kiin,Thai,4.3,73,$$$$,,0.182,42.9,42.9,2
GtnnZd3U1ZqTI38U8HR96A,Grød,"Breakfast & Brunch, Vegetarian, Scandinavian",4.5,172,$,,0.464,71.4,0.0,1
v5dlc7AkipFeq3BlV8Unzw,Asmara Restaurant,African,5.0,3,$,,0.945,100.0,0.0,0
7mntyYb79_GotDqmfZrBYA,Bæst,"Italian, Pizza, Cocktail Bars",3.6,135,$$,,0.449,85.7,0.0,6
ccuabP-ykZe_h1LZIt6DvA,Ma'ed Ethiopian Restaurant,African,4.0,51,$,,0.645,100.0,0.0,0
SOMDzlanYPGzutBZ0z3ZRA,Thai Pan,Thai,4.0,39,$$,,0.507,85.7,0.0,5
142IJtXl0Z-mGWHth6nYPg,Alabama Social,"American, Barbeque, Cajun/Creole",3.6,34,$$,,0.336,71.4,14.3,5
nYcwu37fpbkENz0pm_Ywzw,Plant Power Food,"Vegan, Vegetarian, Open Sandwiches",4.8,8,,,,,,3
s8Zvogv9STlv59pWehvdOg,La Esquina,"Wine Bars, Breakfast & Brunch, Open Sandwiches",3.6,29,$,,,,,0
MKwH8C0QJ2MExF3HqGIjcA,Nørrebro Bryghus,"Brasseries, Breweries, Pubs",3.5,68,$$,,,,,6
BDpk9XkoO3rjnRuoP7HsRA,La Rocca,Italian,4.2,36,$$,,,,,5
VBgHkO1-CfFfWr6XegMkXA,Nittiya Thai Takeaway,Thai,4.6,5,,,,,,3
GyfXTHTzSfAGsasy9jP_KQ,InDish,Indian,4.4,7,,,,,,3
su2QlZZ58XUaQTbGA6fXHw,California Kitchen,"American, Vegan",4.2,32,$,,,,,0
1SMKO4hdnpzYaOj1l-SokQ,Mad & Kaffe,"Breakfast & Brunch, Open Sandwiches",4.4,299,$,,,,,1
aag2m6wl0pinPWblrV85Tg,Restaurant Relæ,Scandinavian,4.0,101,$$$$,,,,,2
oh6V-kwR8nm4lTK85to0sQ,La Lua,Vietnamese,4.0,36,$,,,,,0
L-tK0sjupAuaz_nZB6F4rQ,Gaza Grill,Middle Eastern,4.4,8,,,,,,3
