Yelp ID,Business name,Category,cluster
Q8Ng2haViAwnEsWnX0cH-w,PS Bar & Grill,Modern European  Cocktail Bars,0
tZdjg9UqkfQGWzVWEBg94Q,Sahil Restaurant,Indian  Caterers,0
1y71O0ZlrdlQ-N_C4jviDA,Llama,Cocktail Bars  Mexican  Latin American,0
uYHpHZ7uIJOiKywZhReA-g,MASH,Steakhouses,0
EeCr78G33NPDFOiR3S_qow,Heering,Danish  Bistros,0
GyIp_1i8AmZN_D3fptjUXA,Grab'n Go Burgers,Burgers  New American,0
fLYDXRAb7uSFMYkp3lQkkw,Big Apple,Sandwiches  Juice Bars and Smoothies,0
xdgshmjBc_ZaWQrxAu_e-Q,Aristo,Bistros,0
MZOB0Gq_bQ4NbvOA-SoRLA,Restaurant Le Pavé,French,2
3t8lgl1sVk_MPWMg-l4JEw,Halifax,Burgers,0
ZGriBfqcXX7Go4k3SIT9rg,Fishmarket,Seafood  French,0
oviChAHJzcrKyzhI3UVy8Q,Maio Restaurant,Italian,2
kJvw7QsbfSmqVH0OmoZv_w,Restaurant Havfruen,Seafood,0
sgE0K7RxRMMafRk133nQKw,Fredco's Deli,Vegetarian  Sandwiches  Juice Bars and Smoothies,0
VFWJjN9afXxbPz0HwfS3jA,Restaurant Zeleste,Danish,2
zgJQJd9Tdbdj9WxtWcHuaA,Bøf & Ost,French  Seafood,0
Pygcn947s_EcL8BI0Vf_7g,Khmer Cuisine,Pan Asian,2
B3nEhdBMBre0JrxgwsQoew,Boulevarden,Gastropubs,0
xhGal7ajQuaD4xegQzCHgQ,Bistro Royal - Madklubben,American  Barbeque  French,0
kxEWRnQ1HmWxWaYmB3ezCw,Restaurant Kronborg,Open Sandwiches  Danish  Scandinavian,0
z4dOw6rSvLDJouK4W_-ZKg,Nyhavn Pizzeria,Pizza,0
4MqeD-NYwqiPlemQAfTKlw,Spiseloppen Christiania,Modern European  Bars,0
MlfTU_tKZAMW_4Q98onHfQ,Brass,Vegetarian  Gluten-Free,0
UGtlz82NpJ-McYejVV3Xhw,Rufino Osteria,Italian,2
SG3XCRMwjJ3AaZdNEVu_vg,Nyhavn 37,Scandinavian,2
hUx0eABwXObSOtF7kNBcFA,Palægade Smørrebrød,Open Sandwiches  Food Stands,0
jTgbZdazTRdRFzKTxHpr_A,The Organic Boho,Organic Stores  Vegan,0
Sx6_cH2al9fis3mEPAW8Lg,Gasoline Grill,Fast Food  Burgers  Barbeque,0
J5soC8fVmLpPpxOEPxdVFg,Tony's,Italian,2
T1LYrmAI8pL1p-18AJxdAQ,Garbanzo,Mediterranean  Vegetarian  Vegan,0
45OXq0Rb7Tf2cdnDKiH4lg,Kejser Sausage,Hot Dogs  Food Stands,0
